experiment_id,org_id,variant,assigned_at,eligible_segment
onboarding_guided_v1,org_00001,control,2025-08-27T00:00:00,Mid-Market
onboarding_guided_v1,org_00002,control,2025-12-23T00:00:00,SMB
onboarding_guided_v1,org_00003,control,2025-11-27T00:00:00,SMB
onboarding_guided_v1,org_00004,treatment,2025-10-08T00:00:00,SMB
onboarding_guided_v1,org_00005,treatment,2025-03-14T00:00:00,SMB
onboarding_guided_v1,org_00006,control,2025-07-04T00:00:00,SMB
onboarding_guided_v1,org_00007,control,2025-09-21T00:00:00,SMB
onboarding_guided_v1,org_00008,treatment,2025-04-14T00:00:00,SMB
onboarding_guided_v1,org_00009,treatment,2025-12-18T00:00:00,Mid-Market
onboarding_guided_v1,org_00010,control,2025-04-26T00:00:00,SMB
onboarding_guided_v1,org_00011,treatment,2025-04-27T00:00:00,Mid-Market
onboarding_guided_v1,org_00012,control,2025-10-21T00:00:00,Mid-Market
onboarding_guided_v1,org_00013,treatment,2025-06-28T00:00:00,SMB
onboarding_guided_v1,org_00014,control,2025-08-20T00:00:00,SMB
onboarding_guided_v1,org_00015,control,2025-03-02T00:00:00,SMB
onboarding_guided_v1,org_00016,control,2025-07-15T00:00:00,Mid-Market
onboarding_guided_v1,org_00017,treatment,2025-03-29T00:00:00,Enterprise
onboarding_guided_v1,org_00018,control,2025-03-15T00:00:00,Mid-Market
onboarding_guided_v1,org_00019,control,2025-10-13T00:00:00,Enterprise
onboarding_guided_v1,org_00020,treatment,2025-10-10T00:00:00,SMB
onboarding_guided_v1,org_00021,treatment,2025-12-20T00:00:00,SMB
onboarding_guided_v1,org_00022,control,2025-11-05T00:00:00,Mid-Market
onboarding_guided_v1,org_00023,control,2025-10-01T00:00:00,Enterprise
onboarding_guided_v1,org_00024,treatment,2025-12-24T00:00:00,Mid-Market
onboarding_guided_v1,org_00025,control,2025-02-04T00:00:00,SMB
onboarding_guided_v1,org_00026,treatment,2025-09-26T00:00:00,SMB
onboarding_guided_v1,org_00027,treatment,2025-05-14T00:00:00,SMB
onboarding_guided_v1,org_00028,treatment,2025-08-13T00:00:00,Mid-Market
onboarding_guided_v1,org_00029,treatment,2025-01-04T00:00:00,SMB
onboarding_guided_v1,org_00030,treatment,2025-02-26T00:00:00,Enterprise
onboarding_guided_v1,org_00031,control,2025-12-04T00:00:00,SMB
onboarding_guided_v1,org_00032,control,2025-04-11T00:00:00,SMB
