org_id,week_start,active_users,sessions,features_used
org_00001,2025-08-25,1,34,4
org_00001,2025-09-01,1,16,5
org_00001,2025-09-08,1,29,3
org_00001,2025-09-15,1,24,5
org_00001,2025-09-22,1,16,5
org_00001,2025-09-29,1,15,5
org_00001,2025-10-06,1,11,3
org_00001,2025-10-13,1,8,1
org_00001,2025-10-20,1,17,1
org_00001,2025-10-27,1,5,2
org_00001,2025-11-03,1,9,3
org_00001,2025-11-10,1,8,4
org_00001,2025-11-17,1,7,4
org_00001,2025-11-24,1,7,4
org_00001,2025-12-01,1,3,5
org_00001,2025-12-08,1,5,2
org_00001,2025-12-15,1,6,4
org_00001,2025-12-22,1,4,2
org_00001,2025-12-29,1,2,2
org_00001,2026-01-05,0,0,0
org_00001,2026-01-12,1,1,1
org_00001,2026-01-19,1,4,2
org_00001,2026-01-26,1,1,2
org_00001,2026-02-02,1,4,2
org_00001,2026-02-09,1,1,2
org_00001,2026-02-16,0,0,0
org_00001,2026-02-23,1,2,1
org_00002,2025-12-22,1,5,2
org_00002,2025-12-29,0,0,0
org_00002,2026-01-05,2,3,2
org_00002,2026-01-12,2,1,2
org_00002,2026-01-19,1,2,1
org_00002,2026-01-26,0,0,0
org_00002,2026-02-02,1,1,2
org_00002,2026-02-09,1,1,2
org_00002,2026-02-16,0,0,0
org_00002,2026-02-23,0,0,0
org_00002,2026-03-02,0,0,0
org_00002,2026-03-09,0,0,0
org_00002,2026-03-16,1,1,1
org_00002,2026-03-23,1,1,2
org_00002,2026-03-30,0,0,0
org_00002,2026-04-06,0,0,0
org_00002,2026-04-13,0,0,0
org_00002,2026-04-20,0,0,0
org_00002,2026-04-27,0,0,0
org_00003,2025-11-24,1,13,2
org_00003,2025-12-01,2,8,5
org_00003,2025-12-08,1,3,1
org_00003,2025-12-15,1,7,2
org_00003,2025-12-22,1,4,1
org_00003,2025-12-29,1,5,1
org_00003,2026-01-05,1,5,2
org_00003,2026-01-12,1,5,2
org_00003,2026-01-19,2,3,3
org_00003,2026-01-26,1,2,5
org_00003,2026-02-02,2,1,2
org_00003,2026-02-09,1,3,2
org_00003,2026-02-16,1,4,2
org_00003,2026-02-23,1,3,3
org_00003,2026-03-02,1,1,3
org_00003,2026-03-09,1,2,2
org_00003,2026-03-16,0,0,0
org_00003,2026-03-23,1,1,4
org_00003,2026-03-30,1,2,2
org_00003,2026-04-06,0,0,0
org_00003,2026-04-13,1,1,2
org_00003,2026-04-20,1,2,2
org_00003,2026-04-27,1,1,2
org_00004,2025-10-06,1,1,1
org_00004,2025-10-13,1,3,5
org_00004,2025-10-20,1,2,1
org_00004,2025-10-27,0,0,0
org_00004,2025-11-03,2,3,2
org_00004,2025-11-10,1,3,2
org_00004,2025-11-17,1,1,1
org_00004,2025-11-24,0,0,0
org_00004,2025-12-01,1,1,1
org_00004,2025-12-08,0,0,0
org_00004,2025-12-15,1,2,3
org_00004,2025-12-22,0,0,0
org_00004,2025-12-29,0,0,0
org_00004,2026-01-05,0,0,0
org_00004,2026-01-12,1,1,3
org_00004,2026-01-19,0,0,0
org_00004,2026-01-26,0,0,0
org_00004,2026-02-02,0,0,0
org_00004,2026-02-09,0,0,0
org_00004,2026-02-16,0,0,0
org_00004,2026-02-23,1,1,3
org_00004,2026-03-02,0,0,0
org_00004,2026-03-09,0,0,0
org_00004,2026-03-16,0,0,0
org_00004,2026-03-23,0,0,0
org_00004,2026-03-30,0,0,0
org_00004,2026-04-06,0,0,0
org_00005,2025-03-10,4,34,3
org_00005,2025-03-17,4,20,4
org_00005,2025-03-24,2,16,3
org_00005,2025-03-31,2,13,1
org_00005,2025-04-07,3,13,2
org_00005,2025-04-14,2,8,2
org_00005,2025-04-21,1,10,3
org_00005,2025-04-28,2,8,5
org_00005,2025-05-05,2,5,3
org_00005,2025-05-12,2,8,3
org_00005,2025-05-19,1,4,2
org_00005,2025-05-26,1,8,2
org_00005,2025-06-02,1,2,2
org_00005,2025-06-09,1,1,2
org_00005,2025-06-16,1,2,2
org_00005,2025-06-23,0,0,0
org_00005,2025-06-30,1,3,1
org_00005,2025-07-07,1,2,1
org_00005,2025-07-14,1,3,2
org_00005,2025-07-21,1,4,2
org_00005,2025-07-28,1,1,1
org_00005,2025-08-04,2,2,2
org_00005,2025-08-11,1,1,2
org_00005,2025-08-18,0,0,0
org_00005,2025-08-25,0,0,0
org_00005,2025-09-01,0,0,0
org_00005,2025-09-08,1,1,3
org_00006,2025-06-30,3,23,5
org_00006,2025-07-07,3,24,3
org_00006,2025-07-14,5,28,4
org_00006,2025-07-21,3,19,4
org_00006,2025-07-28,3,23,4
org_00006,2025-08-04,5,15,2
org_00006,2025-08-11,3,21,4
org_00006,2025-08-18,4,19,4
org_00006,2025-08-25,5,23,6
org_00006,2025-09-01,3,20,3
org_00006,2025-09-08,4,19,2
org_00006,2025-09-15,4,22,1
