contract_id,account_id,opportunity_id,contract_date,contract_value,start_date,end_date,revenue_model,contract_status
CON_000001,ACC_00418,OPP_000003,2025-02-07,19654.55,2025-02-18,2026-02-13,Subscription,Active
CON_000002,ACC_00267,OPP_000008,2026-02-10,12863.89,2026-02-20,2027-02-15,Subscription,Active
CON_000003,ACC_00689,OPP_000010,2024-04-27,2409.55,2024-04-30,2025-04-25,Advertising,Active
CON_000004,ACC_01015,OPP_000015,2025-10-25,24448.83,2025-11-06,2026-11-01,Subscription,Amended
CON_000005,ACC_00963,OPP_000017,2024-08-07,19546.29,2024-08-16,2024-09-15,Advertising,Active
CON_000006,ACC_00256,OPP_000020,2025-02-12,63108.5,2025-02-15,2025-05-16,Usage-Based,Active
CON_000007,ACC_00295,OPP_000027,2024-11-04,3547.88,2024-11-18,2025-11-13,Subscription,Active
CON_000008,ACC_01118,OPP_000038,2025-12-28,10379.9,2026-01-09,2027-01-04,Transactional,Active
CON_000009,ACC_01163,OPP_000040,2026-01-09,30349.27,2026-01-11,2026-04-11,Advertising,Active
CON_000010,ACC_00884,OPP_000041,2025-06-25,10715.3,2025-07-06,2026-01-02,Usage-Based,Active
CON_000011,ACC_00745,OPP_000046,2025-04-09,6264.72,2025-04-16,2027-04-06,Subscription,Active
CON_000012,ACC_00034,OPP_000050,2024-08-23,17969.54,2024-09-03,2025-08-29,Subscription,Active
CON_000013,ACC_00526,OPP_000051,2025-01-17,10443.0,2025-01-22,2025-02-21,Enterprise Services,Active
CON_000014,ACC_00067,OPP_000052,2026-01-17,13044.74,2026-01-20,2026-02-19,Advertising,Active
CON_000015,ACC_00136,OPP_000053,2025-01-14,2833.36,2025-01-17,2025-07-16,Subscription,Active
CON_000016,ACC_00897,OPP_000058,2026-01-05,33350.86,2026-01-05,2026-02-04,Enterprise Services,Active
CON_000017,ACC_00876,OPP_000082,2025-06-13,59068.64,2025-06-26,2025-07-26,Advertising,Active
CON_000018,ACC_00562,OPP_000092,2025-06-16,36579.77,2025-06-20,2026-06-15,Subscription,Amended
CON_000019,ACC_00514,OPP_000095,2024-11-09,7983.35,2024-11-23,2024-12-23,Transactional,Active
CON_000020,ACC_00560,OPP_000096,2024-09-13,20153.9,2024-09-16,2026-09-06,Subscription,Active
CON_000021,ACC_00066,OPP_000101,2024-09-15,46463.53,2024-09-20,2025-09-15,Usage-Based,Amended
CON_000022,ACC_00777,OPP_000110,2026-02-25,50867.7,2026-03-10,2028-02-28,Subscription,Active
CON_000023,ACC_00419,OPP_000119,2024-06-28,2531.93,2024-07-03,2024-12-30,Usage-Based,Cancelled
CON_000024,ACC_00394,OPP_000121,2024-05-31,7394.48,2024-06-11,2025-06-06,Subscription,Active
CON_000025,ACC_00128,OPP_000122,2025-09-09,7307.12,2025-09-10,2028-08-25,Subscription,Active
CON_000026,ACC_01196,OPP_000140,2025-04-14,24355.06,2025-04-28,2025-10-25,Enterprise Services,Active
CON_000027,ACC_00438,OPP_000142,2024-10-07,72611.01,2024-10-16,2025-04-14,Subscription,Active
CON_000028,ACC_01162,OPP_000144,2025-03-28,9528.14,2025-04-08,2026-04-03,Subscription,Active
CON_000029,ACC_00505,OPP_000146,2024-06-08,29656.82,2024-06-08,2025-06-03,Transactional,Amended
CON_000030,ACC_00958,OPP_000148,2025-03-06,8762.07,2025-03-20,2025-09-16,Advertising,Cancelled
CON_000031,ACC_00751,OPP_000149,2024-06-30,2416.22,2024-07-07,2027-06-22,Subscription,Active
CON_000032,ACC_00247,OPP_000156,2025-02-12,2254.32,2025-02-15,2025-03-17,Enterprise Services,Active
CON_000033,ACC_00415,OPP_000158,2025-11-21,5143.11,2025-11-23,2026-11-18,Advertising,Active
CON_000034,ACC_00256,OPP_000159,2025-06-29,13574.25,2025-06-30,2026-06-25,Usage-Based,Active
CON_000035,ACC_00594,OPP_000162,2025-04-24,4473.5,2025-05-04,2025-08-02,Usage-Based,Active
CON_000036,ACC_00922,OPP_000168,2024-08-03,110030.19,2024-08-06,2025-02-02,Transactional,Active
CON_000037,ACC_00820,OPP_000170,2025-01-11,14361.25,2025-01-24,2025-04-24,Enterprise Services,Active
CON_000038,ACC_01193,OPP_000182,2025-11-01,99850.48,2025-11-04,2025-12-04,Advertising,Active
CON_000039,ACC_00086,OPP_000183,2024-06-21,3225.99,2024-06-22,2025-06-17,Usage-Based,Active
CON_000040,ACC_01113,OPP_000189,2024-08-15,17772.53,2024-08-27,2025-02-23,Transactional,Active
CON_000041,ACC_00031,OPP_000191,2025-10-18,48069.19,2025-10-29,2026-10-24,Subscription,Cancelled
CON_000042,ACC_00653,OPP_000193,2025-07-28,9994.3,2025-08-04,2026-01-31,Transactional,Active
