performance_date,channel,campaign_id,insurance_vertical,state,spend,impressions,clicks,platform_reported_leads,platform_reported_conversions,platform_reported_revenue
2025-01-01,google,C001,auto,CA,384.36,34756,1317,9,9,530.62
2025-01-01,google,C002,home,NY,302.73,41364,2399,10,10,514.41
2025-01-01,meta,C003,auto,GA,267.15,30407,1091,4,4,151.87
2025-01-01,meta,C004,health,IL,230.25,29514,1033,6,6,256.07
2025-01-01,affiliate,C005,life,MI,99.87,11943,603,10,10,383.1
2025-01-02,google,C001,auto,FL,426.31,54572,2461,12,12,758.6
2025-01-02,google,C002,home,OH,466.11,64430,3317,14,14,700.82
2025-01-02,meta,C003,auto,GA,246.3,29697,1479,6,6,384.72
2025-01-02,meta,C004,health,NC,225.97,19367,929,9,9,541.82
2025-01-02,affiliate,C005,life,NY,140.01,20217,1121,10,10,528.66
2025-01-03,google,C001,auto,CA,290.94,37826,2237,5,5,276.17
2025-01-03,google,C002,home,NY,302.92,31164,1795,8,8,511.65
2025-01-03,meta,C003,auto,CA,258.92,34191,983,8,8,396.04
2025-01-03,meta,C004,health,FL,283.52,39460,1985,7,7,246.32
2025-01-03,affiliate,C005,life,OH,130.69,17257,420,10,10,392.93
2025-01-04,google,C001,auto,TX,232.65,24415,1125,6,6,382.95
2025-01-04,google,C002,home,NY,242.64,26977,1510,10,10,445.84
2025-01-04,meta,C003,auto,TX,119.98,17201,560,7,7,406.59
2025-01-04,meta,C004,health,FL,162.57,16183,485,8,8,327.15
2025-01-04,affiliate,C005,life,MI,61.26,7749,244,5,5,193.86
2025-01-05,google,C001,auto,TX,240.13,30896,1014,5,5,193.17
2025-01-05,google,C002,home,OH,168.42,21993,943,10,10,442.08
2025-01-05,meta,C003,auto,TX,181.9,17025,925,6,6,273.13
2025-01-05,meta,C004,health,IL,178.05,24019,1386,12,12,678.28
2025-01-05,affiliate,C005,life,MI,58.44,5622,154,14,14,502.05
2025-01-06,google,C001,auto,FL,315.14,40059,1134,9,9,583.7
2025-01-06,google,C002,home,NY,363.03,33597,1236,7,7,331.18
2025-01-06,meta,C003,auto,TX,301.97,35955,2136,7,7,293.23
2025-01-06,meta,C004,health,NC,215.55,24907,630,10,10,594.79
2025-01-06,affiliate,C005,life,OH,136.6,11073,277,10,10,455.55
2025-01-07,google,C001,auto,FL,413.22,52092,2448,6,6,386.41
2025-01-07,google,C002,home,PA,381.06,39447,1244,6,6,360.4
2025-01-07,meta,C003,auto,CA,199.4,18258,738,11,11,609.13
2025-01-07,meta,C004,health,NC,226.08,33788,808,4,4,195.0
2025-01-07,affiliate,C005,life,MI,135.89,14661,575,8,8,406.04
2025-01-08,google,C001,auto,CA,312.76,43300,1767,7,7,446.34
2025-01-08,google,C002,home,OH,431.16,58116,1258,9,9,361.33
2025-01-08,meta,C003,auto,GA,207.44,30807,1109,9,9,442.12
2025-01-08,meta,C004,health,FL,209.62,25441,938,6,6,274.83
2025-01-08,affiliate,C005,life,MI,97.76,13327,404,6,6,252.65
2025-01-09,google,C001,auto,CA,311.39,32362,1374,6,6,327.15
2025-01-09,google,C002,home,NY,317.04,31543,1767,8,8,362.53
2025-01-09,meta,C003,auto,TX,261.05,24974,1292,7,7,281.15
2025-01-09,meta,C004,health,FL,274.16,31523,1467,7,7,442.17
2025-01-09,affiliate,C005,life,MI,121.22,17120,373,5,5,236.42
2025-01-10,google,C001,auto,FL,397.02,54647,2045,7,7,401.87
2025-01-10,google,C002,home,NY,460.3,55776,2003,8,8,305.24
2025-01-10,meta,C003,auto,TX,264.86,39063,935,5,5,239.08
2025-01-10,meta,C004,health,FL,292.21,24660,1426,12,12,547.59
2025-01-10,affiliate,C005,life,NY,136.76,11635,381,6,6,355.32
2025-01-11,google,C001,auto,FL,257.92,38251,2031,12,12,703.44
2025-01-11,google,C002,home,PA,177.82,19637,893,9,9,573.57
2025-01-11,meta,C003,auto,GA,150.48,16749,597,4,4,161.23
2025-01-11,meta,C004,health,NC,136.4,20195,1042,4,4,185.57
2025-01-11,affiliate,C005,life,MI,72.84,8880,456,3,3,150.72
2025-01-12,google,C001,auto,FL,256.63,22554,543,16,16,811.41
2025-01-12,google,C002,home,NY,251.95,20910,638,8,8,466.94
2025-01-12,meta,C003,auto,GA,176.33,18641,720,7,7,270.74
2025-01-12,meta,C004,health,FL,172.11,13910,574,6,6,329.79
2025-01-12,affiliate,C005,life,MI,57.41,4852,123,3,3,107.29
2025-01-13,google,C001,auto,TX,391.09,40873,884,13,13,670.72
2025-01-13,google,C002,home,PA,421.16,50530,1569,7,7,262.96
2025-01-13,meta,C003,auto,TX,247.05,34594,1072,7,7,417.12
2025-01-13,meta,C004,health,FL,261.09,37919,1535,4,4,171.68
2025-01-13,affiliate,C005,life,MI,143.22,15341,372,5,5,252.9
2025-01-14,google,C001,auto,CA,379.97,42091,2058,15,16,743.45
2025-01-14,google,C002,home,PA,353.4,40322,1795,5,5,318.94
2025-01-14,meta,C003,auto,TX,297.56,35423,1817,4,4,235.02
2025-01-14,meta,C004,health,NC,307.24,28173,655,1,1,56.94
2025-01-14,affiliate,C005,life,MI,139.17,16436,696,5,5,209.49
2025-01-15,google,C001,auto,TX,381.67,31372,1857,7,7,379.43
2025-01-15,google,C002,home,PA,422.56,49586,1175,5,5,230.73
2025-01-15,meta,C003,auto,CA,221.31,23038,630,8,8,518.21
2025-01-15,meta,C004,health,NC,195.65,22464,1295,5,5,265.72
2025-01-15,affiliate,C005,life,MI,103.5,10832,371,5,5,237.96
2025-01-16,google,C001,auto,FL,419.92,37927,1396,7,7,403.66
2025-01-16,google,C002,home,PA,359.35,36666,1351,7,7,262.31
2025-01-16,meta,C003,auto,GA,272.46,29049,1065,3,3,170.93
2025-01-16,meta,C004,health,FL,279.79,37527,1820,5,5,182.77
2025-01-16,affiliate,C005,life,NY,144.59,18994,1031,6,6,272.93
2025-01-17,google,C001,auto,TX,354.61,50053,2415,10,10,475.74
2025-01-17,google,C002,home,OH,451.27,52416,1811,8,8,337.91
2025-01-17,meta,C003,auto,GA,293.42,26817,919,8,8,492.24
2025-01-17,meta,C004,health,NC,297.1,41172,1401,10,10,558.13
2025-01-17,affiliate,C005,life,NY,124.33,14999,314,13,13,634.39
2025-01-18,google,C001,auto,FL,204.92,21664,640,8,8,392.74
2025-01-18,google,C002,home,NY,223.2,28971,776,8,8,420.56
2025-01-18,meta,C003,auto,GA,118.95,12221,498,9,9,324.12
2025-01-18,meta,C004,health,IL,150.67,13947,344,12,12,770.63
2025-01-18,affiliate,C005,life,OH,79.85,10859,269,8,8,489.62
2025-01-19,google,C001,auto,CA,223.05,32147,1076,7,7,307.11
2025-01-19,google,C002,home,PA,269.39,38958,819,5,5,271.78
2025-01-19,meta,C003,auto,GA,115.17,12337,555,6,6,248.82
2025-01-19,meta,C004,health,FL,165.08,14999,818,8,8,474.2
2025-01-19,affiliate,C005,life,MI,78.2,7872,216,7,7,384.52
2025-01-20,google,C001,auto,CA,313.26,45872,2052,10,10,424.35
2025-01-20,google,C002,home,NY,383.61,40736,1050,7,7,245.77
2025-01-20,meta,C003,auto,GA,308.35,42052,1997,5,5,190.93
2025-01-20,meta,C004,health,NC,208.96,24813,504,8,8,365.47
2025-01-20,affiliate,C005,life,MI,112.79,10486,472,9,9,365.64
2025-01-21,google,C001,auto,TX,448.23,42396,925,13,13,520.12
2025-01-21,google,C002,home,OH,367.31,39317,1823,8,8,452.54
2025-01-21,meta,C003,auto,CA,199.08,23507,1247,12,12,639.05
2025-01-21,meta,C004,health,FL,306.75,38147,1309,3,3,176.28
2025-01-21,affiliate,C005,life,OH,96.68,8303,389,5,5,257.86
2025-01-22,google,C001,auto,FL,304.47,36460,1585,8,8,494.05
