lead_id,quote_id,customer_id,campaign_id,channel,submitted_at,insurance_vertical,state,device_type,lead_quality_score,is_valid,is_duplicate,is_test_lead,is_suspected_fraud,rejection_reason,lead_status
L59B6D1BB23E9,Q857A64702842,CUS94C0AC880FAB,C007,direct,2025-03-16 21:55:10 UTC,home,TX,desktop,58,TRUE,FALSE,FALSE,FALSE,,valid
LF59E2D63A35B,Q7FFE79FAFB29,CUS7647CF9AF63D,C001,google,2025-06-25 17:47:02 UTC,auto,NY,mobile,47,TRUE,FALSE,FALSE,FALSE,,valid
L963B6A6B93B7,QFAB7A668B299,CUS62CA2D850A28,C006,organic,2025-05-19 18:39:21 UTC,auto,OH,desktop,92,TRUE,FALSE,FALSE,FALSE,,valid
LE5F1B346047B,QFD8F5529DE18,CUS7EBB98562EE3,C007,direct,2025-03-09 22:31:23 UTC,home,OH,desktop,60,TRUE,FALSE,FALSE,FALSE,,valid
L777852B12E68,Q2E46BD4039EB,CUSB01FFE1B811E,C001,google,2025-04-14 09:44:04 UTC,auto,MI,mobile,42,FALSE,TRUE,FALSE,FALSE,duplicate,rejected
L828F856B8E7D,QE465C48E9F4F,CUS04400A43EEB5,C004,meta,2025-03-13 07:25:32 UTC,health,NC,desktop,98,TRUE,FALSE,FALSE,FALSE,,valid
LE2801816A349,Q36A5298A7F5B,CUSE31F6D109806,C005,affiliate,2025-02-14 07:38:21 UTC,life,IL,mobile,69,TRUE,FALSE,FALSE,FALSE,,valid
L6FC05F7F9DBC,QC50EC0FD5AB1,CUS375A07A490F7,C002,google,2025-06-13 10:00:11 UTC,home,NY,desktop,83,TRUE,FALSE,FALSE,FALSE,,valid
LBF49096C152C,QDDDB04928B05,CUSA2E706AEDC44,C007,direct,2025-04-30 07:24:49 UTC,home,IL,mobile,99,TRUE,FALSE,FALSE,FALSE,,valid
L535987ACD3BA,Q9A20D64849CA,CUSADE16ECCFBE5,C004,meta,2025-02-16 15:49:50 UTC,health,OH,desktop,77,TRUE,FALSE,FALSE,FALSE,,valid
L21DDE230D089,Q25C89B9774E7,CUS2EF332B0E751,C001,google,2025-05-22 07:47:40 UTC,auto,GA,desktop,61,FALSE,FALSE,FALSE,FALSE,low_quality_score,rejected
L623B2E2D6F5E,Q16C289062C2E,CUS91AF55EAD8F4,C005,affiliate,2025-02-23 12:54:16 UTC,life,TX,desktop,55,TRUE,FALSE,FALSE,FALSE,,valid
LC8CB99AFCAF3,Q857EB0F70508,CUSA4B988D38E5C,C006,organic,2025-04-23 14:53:19 UTC,auto,TX,desktop,90,TRUE,FALSE,FALSE,FALSE,,valid
L14D6BE6BD2D1,QB1E4C0C7AC57,CUSFD7EA461E75D,C007,direct,2025-06-16 18:12:24 UTC,home,CA,desktop,98,TRUE,FALSE,FALSE,FALSE,,valid
L7AA45407F824,Q3B5657698DE6,CUSEE5C2A657FB7,C003,meta,2025-01-24 17:09:42 UTC,auto,TX,desktop,59,FALSE,FALSE,FALSE,FALSE,low_quality_score,rejected
L041D27D9B739,QC91A3449CD43,CUS9F99EC4402C2,C001,google,2025-05-19 07:19:17 UTC,auto,TX,mobile,35,TRUE,FALSE,FALSE,FALSE,,valid
L916550FFEB73,Q4205EDDBD73F,CUS9577B07EF53A,C004,meta,2025-06-18 23:09:33 UTC,health,CA,desktop,67,TRUE,FALSE,FALSE,FALSE,,valid
LED2C636B2EBE,Q98A9EA2B2D33,CUS42806D2DB5F4,C003,meta,2025-02-25 21:38:38 UTC,auto,IL,desktop,37,TRUE,FALSE,FALSE,FALSE,,valid
L05C334B6D5D0,QB47054D72D9B,CUS0C6A3242750D,C001,google,2025-03-31 09:24:26 UTC,auto,MI,mobile,36,TRUE,FALSE,FALSE,FALSE,,valid
L8A4DEAFBDFF5,Q78A4A722872A,CUS5DD8F4C45BFC,C001,google,2025-02-26 10:46:47 UTC,auto,TX,mobile,71,TRUE,FALSE,FALSE,FALSE,,valid
LAA0D78523D7F,Q8564316768FF,CUSF2BA748A3866,C002,google,2025-06-10 17:05:15 UTC,home,TX,mobile,35,FALSE,FALSE,FALSE,FALSE,missing_fields,rejected
L56E2BF478C5E,QF5B5ED5CB843,CUSB97ACB8179E8,C003,meta,2025-01-22 21:40:46 UTC,auto,CA,desktop,49,TRUE,FALSE,FALSE,FALSE,,valid
L2AF49CBBADB8,Q6383550B05F6,CUSEBFCD5D52A40,C005,affiliate,2025-06-21 07:39:54 UTC,life,IL,mobile,73,TRUE,FALSE,FALSE,FALSE,,valid
