event_id,customer_id,session_id,quote_id,event_timestamp,event_name,channel,campaign_id,utm_source,utm_medium,utm_campaign,device_type,insurance_vertical,state
EC4EAFE36E060,CUS998971AEF5D1,S72CB8A24956A,Q8745D3824634,2025-06-16 15:53:31 UTC,landing_page_view,affiliate,C005,affiliate,affiliate,C005,desktop,life,NY
E561F03C3040A,CUS47DAAD358B1C,SA5D3CC6222B7,Q05E8A8775C26,2025-03-29 19:08:52 UTC,landing_page_view,google,C001,google,cpc,C001,desktop,auto,PA
ED4AA30107920,CUSB602D4D44146,S52907F183512,QDD1BD1C0A7F4,2025-04-28 18:36:50 UTC,landing_page_view,meta,C004,meta,cpc,C004,mobile,health,TX
EA1862215A4B4,CUS94C0AC880FAB,S30302ECB8DCC,Q857A64702842,2025-03-16 21:44:17 UTC,landing_page_view,direct,C007,direct,direct,C007,desktop,home,TX
E6F3E0AC65A9E,CUS94C0AC880FAB,S30302ECB8DCC,Q857A64702842,2025-03-16 21:46:48 UTC,quote_started,direct,C007,direct,direct,C007,desktop,home,TX
E2B515B08BD64,CUS94C0AC880FAB,S30302ECB8DCC,Q857A64702842,2025-03-16 21:47:39 UTC,contact_information_completed,direct,C007,direct,direct,C007,desktop,home,TX
E20922332B92C,CUS94C0AC880FAB,S30302ECB8DCC,Q857A64702842,2025-03-16 21:49:21 UTC,insurance_details_completed,direct,C007,direct,direct,C007,desktop,home,TX
E3C12E81B9989,CUS94C0AC880FAB,S30302ECB8DCC,Q857A64702842,2025-03-16 21:51:41 UTC,quote_completed,direct,C007,direct,direct,C007,desktop,home,TX
ECFDBB0EA1AC9,CUS94C0AC880FAB,S30302ECB8DCC,Q857A64702842,2025-03-16 21:55:10 UTC,lead_submitted,direct,C007,direct,direct,C007,desktop,home,TX
EB69228627DF0,CUS7647CF9AF63D,S27715376B750,Q7FFE79FAFB29,2025-06-25 17:28:13 UTC,landing_page_view,google,C001,google,cpc,C001,mobile,auto,NY
ECFD1B710177A,CUS7647CF9AF63D,S27715376B750,Q7FFE79FAFB29,2025-06-25 17:32:43 UTC,quote_started,google,C001,google,cpc,C001,mobile,auto,NY
EBBBE805BFC86,CUS7647CF9AF63D,S27715376B750,Q7FFE79FAFB29,2025-06-25 17:36:52 UTC,contact_information_completed,google,C001,google,cpc,C001,mobile,auto,NY
E5FC36821160B,CUS7647CF9AF63D,S27715376B750,Q7FFE79FAFB29,2025-06-25 17:38:18 UTC,insurance_details_completed,google,C001,google,cpc,C001,mobile,auto,NY
E4EEC7199FAB3,CUS7647CF9AF63D,S27715376B750,Q7FFE79FAFB29,2025-06-25 17:43:08 UTC,quote_completed,google,C001,google,cpc,C001,mobile,auto,NY
E4ACF0EA9065A,CUS7647CF9AF63D,S27715376B750,Q7FFE79FAFB29,2025-06-25 17:47:02 UTC,lead_submitted,google,C001,google,cpc,C001,mobile,auto,NY
E26FEF44823F7,CUS594EE864BE61,SEF87536F894F,Q2F693F589BE0,2025-05-11 12:51:30 UTC,landing_page_view,meta,C003,meta,cpc,C003,desktop,auto,TX
E61B29D4E41B3,CUS594EE864BE61,SEF87536F894F,Q2F693F589BE0,2025-05-11 12:55:44 UTC,quote_started,meta,C003,meta,cpc,C003,desktop,auto,TX
E4D503560E3A7,CUS594EE864BE61,SEF87536F894F,Q2F693F589BE0,2025-05-11 13:00:42 UTC,contact_information_completed,meta,C003,meta,cpc,C003,desktop,auto,TX
ED1112B88D330,CUSC912D300D458,SC8AA52EFC6AD,QE613402342E8,2025-01-03 17:11:25 UTC,landing_page_view,affiliate,C005,affiliate,affiliate,C005,mobile,life,NC
E150D0330B03D,CUSC912D300D458,SC8AA52EFC6AD,QE613402342E8,2025-01-03 17:13:54 UTC,quote_started,affiliate,C005,affiliate,affiliate,C005,mobile,life,NC
