revenue_event_id,lead_id,partner_id,revenue_timestamp,revenue_type,revenue_amount,transaction_status
REV86CA25105098,LE5F1B346047B,P002,2025-03-09 23:34:44 UTC,lead_sale,72.15,confirmed
REVED7FD2C6ACCB,L828F856B8E7D,P005,2025-03-13 07:50:16 UTC,lead_sale,112.37,confirmed
REV5B3C777AB7B6,LE2801816A349,P006,2025-02-14 07:52:28 UTC,lead_sale,123.99,confirmed
REV1EEF703EC8BD,L6FC05F7F9DBC,P010,2025-06-13 10:09:19 UTC,lead_sale,80.64,confirmed
REV135CC02E6A9C,LBF49096C152C,P008,2025-04-30 08:14:53 UTC,lead_sale,84.21,confirmed
REV0B818772A7A8,L535987ACD3BA,P005,2025-02-16 16:03:51 UTC,lead_sale,95.41,confirmed
REV2A5A938DB46B,L623B2E2D6F5E,P007,2025-02-23 13:09:39 UTC,lead_sale,150.67,confirmed
REVA7BFF6A2B105,L041D27D9B739,P001,2025-05-19 07:22:43 UTC,lead_sale,63.09,confirmed
REV20B65EA55BB7,L916550FFEB73,P005,2025-06-19 00:00:51 UTC,lead_sale,105.64,confirmed
REV8701A2E59791,LED2C636B2EBE,P003,2025-02-25 22:30:51 UTC,lead_sale,67.4,confirmed
REV07536BB0CEFD,L05C334B6D5D0,P010,2025-03-31 09:57:28 UTC,lead_sale,76.64,confirmed
REVA9B4124B8D22,L8A4DEAFBDFF5,P003,2025-02-26 11:36:43 UTC,lead_sale,63.85,confirmed
REVBC2E226260D8,L56E2BF478C5E,P009,2025-01-22 22:29:41 UTC,lead_sale,55.28,confirmed
REV9B8373727A64,L3CBDBC69CAA4,P010,2025-06-28 09:58:00 UTC,lead_sale,66.74,confirmed
REV1C566C3E84A9,L5A6CA0386788,P006,2025-01-05 08:04:02 UTC,lead_sale,109.62,confirmed
REVD69914D809A4,LA8795C4979E9,P005,2025-01-08 20:13:50 UTC,lead_sale,106.86,confirmed
REV6D7478743C3B,L65BE3EA9DCF2,P002,2025-04-21 18:44:36 UTC,lead_sale,69.32,confirmed
REV8F18B41C6159,L1BD96CB34CE9,P002,2025-02-06 08:54:30 UTC,lead_sale,86.28,confirmed
REVDD4F2BF6C4AF,L7A416BBAA325,P009,2025-05-29 19:36:36 UTC,lead_sale,69.3,confirmed
REV63C82E2E8055,L9C22A8FBFC6A,P003,2025-01-19 12:58:46 UTC,lead_sale,63.99,confirmed
REV8D1E989FFDFE,L0F19C320F0D1,P005,2025-02-23 21:19:08 UTC,lead_sale,96.37,confirmed
REV4E55C0A4835B,LC87DD412C0F3,P008,2025-03-26 16:28:01 UTC,lead_sale,74.15,confirmed
REV53896EEA8337,L13B0B251099F,P010,2025-03-04 22:07:19 UTC,lead_sale,69.06,confirmed
REVFC4BDC6B61E3,L652F750138D2,P010,2025-05-31 18:03:14 UTC,lead_sale,86.04,confirmed
REV4A7085F65983,LE6812C22C529,P008,2025-03-19 16:15:08 UTC,lead_sale,85.49,confirmed
REV4CCD3DF517C9,L8A956CAC4A65,P006,2025-04-11 15:22:26 UTC,lead_sale,130.37,confirmed
REVE8ADAB2B590A,L54714B1780E9,P003,2025-04-08 23:00:54 UTC,lead_sale,65.61,confirmed
REVBFCB7FA0EB23,L118380D00F65,P003,2025-04-22 14:20:46 UTC,lead_sale,66.15,confirmed
REV52C90DBEC449,L93F8A232BCAD,P002,2025-05-25 20:53:58 UTC,lead_sale,72.39,confirmed
REVD057668B760A,L3200E8785237,P001,2025-05-15 14:15:04 UTC,lead_sale,66.32,confirmed
REVEE8198459F0A,L2B162FA1244C,P001,2025-05-24 15:10:40 UTC,lead_sale,64.62,confirmed
REVC1CB3587620C,LD6847F7EA1B5,P001,2025-06-19 21:06:00 UTC,lead_sale,73.38,confirmed
REVC63076BBE0DC,L99335A4C6474,P010,2025-05-24 09:44:01 UTC,lead_sale,69.93,confirmed
REV6FF4340CF00A,L92591290A11A,P003,2025-06-16 19:03:29 UTC,lead_sale,75.21,confirmed
