routing_attempt_id,lead_id,partner_id,routed_at,routing_priority,bid_amount,delivery_status,response_status,response_timestamp,rejection_reason
RA359EE9756434,L59B6D1BB23E9,P010,2025-03-16 21:55:38 UTC,1,68.9,delivered,no_response,2025-03-16 21:57:54 UTC,quality
RAC56F0E76F5DD,LF59E2D63A35B,P009,2025-06-25 17:47:47 UTC,1,50.15,delivered,capacity_exceeded,2025-06-25 17:51:20 UTC,capacity
RA04AC49D60B17,L963B6A6B93B7,P003,2025-05-19 18:39:26 UTC,1,71.31,delivered,no_response,2025-05-19 18:42:35 UTC,capacity
RA7B14E6FBDB01,LE5F1B346047B,P002,2025-03-09 22:31:50 UTC,1,69.51,delivered,accepted,2025-03-09 22:35:12 UTC,
RA79A0F3FD5644,L828F856B8E7D,P005,2025-03-13 07:25:49 UTC,1,118.06,delivered,accepted,2025-03-13 07:28:43 UTC,
RA16E4EFDCCEB2,LE2801816A349,P006,2025-02-14 07:38:58 UTC,1,105.88,delivered,accepted,2025-02-14 07:40:54 UTC,
RA8888C28AA3E7,L6FC05F7F9DBC,P010,2025-06-13 10:00:42 UTC,1,66.51,delivered,accepted,2025-06-13 10:05:24 UTC,
RA1C56600078D0,LBF49096C152C,P008,2025-04-30 07:24:58 UTC,1,77.21,delivered,accepted,2025-04-30 07:29:44 UTC,
RA6D633945A1C2,L535987ACD3BA,P005,2025-02-16 15:50:07 UTC,1,97.55,delivered,accepted,2025-02-16 15:52:50 UTC,
RAEFB06B6066DE,L623B2E2D6F5E,P007,2025-02-23 12:54:55 UTC,1,142.34,delivered,accepted,2025-02-23 12:56:38 UTC,
RA40DA1B4B94E7,LC8CB99AFCAF3,P002,2025-04-23 14:54:16 UTC,1,75.43,delivered,rejected,2025-04-23 14:58:38 UTC,price_too_low
RA538DC8DA3749,L14D6BE6BD2D1,P002,2025-06-16 18:13:14 UTC,1,71.94,delivered,capacity_exceeded,2025-06-16 18:16:13 UTC,price_too_low
RA566E39AC86FA,L041D27D9B739,P003,2025-05-19 07:19:58 UTC,1,66.76,delivered,capacity_exceeded,2025-05-19 07:21:33 UTC,state_not_covered
RAD119B720B387,L041D27D9B739,P001,2025-05-19 07:20:04 UTC,2,62.07,delivered,accepted,2025-05-19 07:20:49 UTC,
RAE0B7BA056C16,L916550FFEB73,P005,2025-06-18 23:10:21 UTC,1,105.69,delivered,accepted,2025-06-18 23:12:07 UTC,
RAA33DE1B03037,LED2C636B2EBE,P003,2025-02-25 21:39:17 UTC,1,76.2,delivered,accepted,2025-02-25 21:41:42 UTC,
RAB40D2D1D4B20,L05C334B6D5D0,P010,2025-03-31 09:24:45 UTC,1,79.13,delivered,accepted,2025-03-31 09:25:56 UTC,
RA6C10514DDDBC,L8A4DEAFBDFF5,P003,2025-02-26 10:47:43 UTC,1,71.09,delivered,accepted,2025-02-26 10:48:53 UTC,
RAA59E75F20D69,L56E2BF478C5E,P009,2025-01-22 21:41:30 UTC,1,64.81,delivered,accepted,2025-01-22 21:43:20 UTC,
RA7446E49C4458,L2AF49CBBADB8,P007,2025-06-21 07:40:23 UTC,1,133.32,delivered,rejected,2025-06-21 07:43:02 UTC,quality
RA4A8BA24F4EE3,L3CBDBC69CAA4,P010,2025-06-28 09:20:24 UTC,1,63.78,delivered,accepted,2025-06-28 09:25:09 UTC,
RADE397A4009C4,L5A6CA0386788,P006,2025-01-05 08:01:16 UTC,1,134.34,delivered,accepted,2025-01-05 08:02:10 UTC,
RAB0B28EB93062,LE38147C5495A,P008,2025-03-26 22:12:26 UTC,1,74.23,delivered,capacity_exceeded,2025-03-26 22:12:45 UTC,price_too_low
RAD0A98CFFAE3A,LA8795C4979E9,P005,2025-01-08 19:33:43 UTC,1,100.85,delivered,accepted,2025-01-08 19:38:17 UTC,
RA5CB120C98A16,L65BE3EA9DCF2,P002,2025-04-21 18:19:02 UTC,1,76.79,delivered,accepted,2025-04-21 18:20:49 UTC,
RA13A550FA8E82,L1BD96CB34CE9,P002,2025-02-06 08:30:07 UTC,1,69.96,delivered,accepted,2025-02-06 08:32:56 UTC,
RA1F12BAC732A7,L7A416BBAA325,P009,2025-05-29 19:24:12 UTC,1,61.75,delivered,accepted,2025-05-29 19:29:12 UTC,
RA409974352F21,L9C22A8FBFC6A,P003,2025-01-19 12:04:24 UTC,1,76.68,delivered,accepted,2025-01-19 12:06:39 UTC,
RAFDEB4463AEF0,L0F19C320F0D1,P005,2025-02-23 21:04:34 UTC,1,100.85,delivered,accepted,2025-02-23 21:08:06 UTC,
RA806B262A6920,LC87DD412C0F3,P003,2025-03-26 15:33:14 UTC,1,59.53,delivered,no_response,2025-03-26 15:35:55 UTC,price_too_low
RA49E04419ADFC,LC87DD412C0F3,P008,2025-03-26 15:33:37 UTC,2,66.64,delivered,accepted,2025-03-26 15:35:10 UTC,
RA37182AEC8D50,L13B0B251099F,P010,2025-03-04 21:29:28 UTC,1,74.82,delivered,accepted,2025-03-04 21:31:05 UTC,
RAB99E0FF857A6,L652F750138D2,P010,2025-05-31 17:13:00 UTC,1,70.11,delivered,accepted,2025-05-31 17:13:26 UTC,
RAE7003FC3694A,LE6812C22C529,P010,2025-03-19 15:14:57 UTC,1,71.7,delivered,rejected,2025-03-19 15:18:04 UTC,state_not_covered
RA5CC956CB8573,LE6812C22C529,P008,2025-03-19 15:14:50 UTC,2,72.12,delivered,accepted,2025-03-19 15:18:16 UTC,
RA470536B4C499,L349178FA1B82,P006,2025-05-27 07:17:34 UTC,1,109.54,delivered,no_response,2025-05-27 07:21:32 UTC,price_too_low
RA9256F2843AB5,L349178FA1B82,P007,2025-05-27 07:17:35 UTC,2,136.18,delivered,capacity_exceeded,2025-05-27 07:21:34 UTC,quality
RA646C82F1ECFA,L8A956CAC4A65,P006,2025-04-11 14:21:29 UTC,1,115.0,delivered,accepted,2025-04-11 14:24:03 UTC,
RA4D455259D117,L54714B1780E9,P009,2025-04-08 22:39:49 UTC,1,56.98,delivered,rejected,2025-04-08 22:40:50 UTC,quality
RA806ECD049A29,L54714B1780E9,P003,2025-04-08 22:39:31 UTC,2,76.83,delivered,accepted,2025-04-08 22:42:13 UTC,
RAA703C54F722C,L71094D2D7B95,P003,2025-06-28 11:52:01 UTC,1,63.59,delivered,rejected,2025-06-28 11:54:53 UTC,price_too_low
RA77BDE1B855F0,L4508291B2AD7,P002,2025-05-27 14:56:17 UTC,1,67.76,delivered,no_response,2025-05-27 15:00:44 UTC,capacity
RA4452F4607725,L118380D00F65,P003,2025-04-22 13:42:42 UTC,1,58.55,delivered,accepted,2025-04-22 13:46:32 UTC,
RA910F6ABAF858,L113956570485,P002,2025-06-23 21:25:52 UTC,1,67.07,delivered,rejected,2025-06-23 21:27:11 UTC,quality
RA66F6F3903977,L93F8A232BCAD,P001,2025-05-25 20:33:35 UTC,1,63.66,delivered,no_response,2025-05-25 20:34:39 UTC,state_not_covered
RA28C56DD74BEC,L93F8A232BCAD,P002,2025-05-25 20:33:49 UTC,2,86.12,delivered,accepted,2025-05-25 20:37:27 UTC,
RA4ECA963FC83B,L3200E8785237,P009,2025-05-15 14:11:51 UTC,1,61.29,delivered,no_response,2025-05-15 14:13:07 UTC,quality
RA4C68E2EEEE5E,L3200E8785237,P001,2025-05-15 14:11:17 UTC,2,69.81,delivered,accepted,2025-05-15 14:13:50 UTC,
RAFE9CECFE5D1C,LA68F22AFF0AA,P002,2025-06-15 08:07:41 UTC,1,81.95,delivered,capacity_exceeded,2025-06-15 08:10:28 UTC,price_too_low
RAD5946D656FFE,L2B162FA1244C,P001,2025-05-24 14:35:39 UTC,1,69.34,delivered,accepted,2025-05-24 14:36:43 UTC,
RA5464A2B37D89,LB7278C656BE6,P003,2025-05-05 07:45:07 UTC,1,63.4,delivered,rejected,2025-05-05 07:47:45 UTC,price_too_low
RA1642931ECDE0,LE296580D1249,P003,2025-01-04 14:32:40 UTC,1,76.04,delivered,no_response,2025-01-04 14:37:25 UTC,state_not_covered
RAEA03220C8C2C,LE6874F708669,P002,2025-03-29 13:06:28 UTC,1,76.7,delivered,capacity_exceeded,2025-03-29 13:07:53 UTC,quality
RA0219095B2D8A,LE6874F708669,P003,2025-03-29 13:06:35 UTC,2,73.38,delivered,capacity_exceeded,2025-03-29 13:08:27 UTC,price_too_low
RABB4A753A58F7,LE6874F708669,P010,2025-03-29 13:06:33 UTC,3,76.28,delivered,rejected,2025-03-29 13:09:11 UTC,quality
RAF89D3AEE246B,LD6847F7EA1B5,P001,2025-06-19 20:38:25 UTC,1,66.73,delivered,accepted,2025-06-19 20:41:59 UTC,
RA3DCF57DA5A88,L99335A4C6474,P010,2025-05-24 09:10:21 UTC,1,74.77,delivered,accepted,2025-05-24 09:13:02 UTC,
RAF6B4F37DE580,L92591290A11A,P003,2025-06-16 18:10:12 UTC,1,66.37,delivered,accepted,2025-06-16 18:15:07 UTC,
RADA28B6914569,LD69A45A4D3D7,P005,2025-01-31 11:26:40 UTC,1,104.63,delivered,accepted,2025-01-31 11:30:17 UTC,
RAC9CC638B0FA1,LC5167B8AFF88,P003,2025-05-30 10:38:26 UTC,1,77.64,delivered,accepted,2025-05-30 10:40:20 UTC,
RAC356303F6608,L8406DD7C7BFF,P003,2025-01-03 19:51:43 UTC,1,58.85,delivered,accepted,2025-01-03 19:54:06 UTC,
