subscription_id,org_id,plan_type,mrr_amount,start_date,end_date,status,churn_reason
sub_000001,org_00006,Trial,0.0,2025-07-10,2025-07-24,trial_ended,
sub_000002,org_00006,Business,399.0,2025-07-25,,active,
sub_000003,org_00007,Trial,0.0,2025-09-25,2025-10-09,trial_ended,
sub_000004,org_00007,Growth,149.0,2025-10-10,,active,
sub_000005,org_00008,Trial,0.0,2025-04-18,2025-05-02,trial_ended,
sub_000006,org_00010,Trial,0.0,2025-04-27,2025-05-11,trial_ended,
sub_000007,org_00010,Growth,149.0,2025-05-13,2025-08-30,churned,Low adoption
sub_000008,org_00011,Trial,0.0,2025-05-04,2025-05-18,trial_ended,
sub_000009,org_00014,Trial,0.0,2025-08-22,2025-09-05,trial_ended,
sub_000010,org_00014,Enterprise,999.0,2025-09-07,,active,
sub_000011,org_00015,Trial,0.0,2025-03-05,2025-03-19,trial_ended,
sub_000012,org_00016,Trial,0.0,2025-07-16,2025-07-30,trial_ended,
sub_000013,org_00017,Trial,0.0,2025-04-01,2025-04-15,trial_ended,
sub_000014,org_00018,Trial,0.0,2025-03-19,2025-04-02,trial_ended,
sub_000015,org_00019,Trial,0.0,2025-10-20,2025-11-03,trial_ended,
sub_000016,org_00020,Trial,0.0,2025-10-11,2025-10-25,trial_ended,
sub_000017,org_00020,Growth,149.0,2025-10-27,,active,
sub_000018,org_00021,Trial,0.0,2025-12-23,2026-01-06,trial_ended,
sub_000019,org_00021,Business,399.0,2026-01-09,,active,
sub_000020,org_00022,Trial,0.0,2025-11-11,2025-11-25,trial_ended,
sub_000021,org_00022,Starter,49.0,2025-11-27,,active,
sub_000022,org_00023,Trial,0.0,2025-10-08,2025-10-22,trial_ended,
sub_000023,org_00023,Starter,49.0,2025-10-23,,active,
sub_000024,org_00024,Trial,0.0,2025-12-31,2026-01-14,trial_ended,
sub_000025,org_00024,Growth,149.0,2026-01-17,2026-03-31,churned,Low adoption
sub_000026,org_00028,Trial,0.0,2025-08-17,2025-08-31,trial_ended,
sub_000027,org_00028,Business,399.0,2025-08-31,,active,
sub_000028,org_00030,Trial,0.0,2025-03-04,2025-03-18,trial_ended,
sub_000029,org_00030,Business,399.0,2025-03-19,,active,
sub_000030,org_00032,Trial,0.0,2025-04-14,2025-04-28,trial_ended,
sub_000031,org_00032,Growth,149.0,2025-04-28,2025-06-03,churned,Low adoption
sub_000032,org_00034,Trial,0.0,2025-06-25,2025-07-09,trial_ended,
sub_000033,org_00034,Starter,49.0,2025-07-11,2025-10-06,churned,Low adoption
sub_000034,org_00035,Trial,0.0,2025-05-25,2025-06-08,trial_ended,
sub_000035,org_00035,Growth,149.0,2025-06-10,,active,
sub_000036,org_00036,Trial,0.0,2025-10-16,2025-10-30,trial_ended,
sub_000037,org_00037,Trial,0.0,2025-03-04,2025-03-18,trial_ended,
sub_000038,org_00038,Trial,0.0,2025-02-22,2025-03-08,trial_ended,
sub_000039,org_00038,Business,399.0,2025-03-11,2025-05-12,churned,Low adoption
sub_000040,org_00040,Trial,0.0,2025-03-21,2025-04-04,trial_ended,
sub_000041,org_00040,Starter,49.0,2025-04-05,,active,
sub_000042,org_00042,Trial,0.0,2025-04-07,2025-04-21,trial_ended,
sub_000043,org_00042,Growth,149.0,2025-04-23,,active,
sub_000044,org_00043,Trial,0.0,2025-11-06,2025-11-20,trial_ended,
sub_000045,org_00043,Enterprise,999.0,2025-11-22,,active,
sub_000046,org_00046,Trial,0.0,2025-04-18,2025-05-02,trial_ended,
sub_000047,org_00047,Trial,0.0,2025-10-29,2025-11-12,trial_ended,
sub_000048,org_00048,Trial,0.0,2025-02-19,2025-03-05,trial_ended,
sub_000049,org_00050,Trial,0.0,2025-03-06,2025-03-20,trial_ended,
sub_000050,org_00050,Business,399.0,2025-03-23,2025-05-02,churned,Low adoption
sub_000051,org_00051,Trial,0.0,2025-01-24,2025-02-07,trial_ended,
sub_000052,org_00051,Growth,149.0,2025-02-10,,active,
sub_000053,org_00052,Trial,0.0,2025-04-21,2025-05-05,trial_ended,
sub_000054,org_00053,Trial,0.0,2025-11-24,2025-12-08,trial_ended,
