account_id,customer_health_score,renewal_date,renewal_status,expansion_amount,churn_reason
ACC_00001,80.7,2025-05-31,Healthy,584.97,
ACC_00002,75.1,2025-02-15,Healthy,982.19,
ACC_00004,68.7,2025-10-13,Healthy,0.0,
ACC_00005,49.9,2024-02-27,Needs Attention,0.0,
ACC_00006,82.6,2025-08-20,Healthy,900.38,
ACC_00008,74.7,2025-09-15,Healthy,6048.23,
ACC_00012,100.0,2025-05-03,Healthy,3272.39,
ACC_00013,70.7,2025-04-06,Healthy,1901.17,
ACC_00015,79.6,2025-06-20,Healthy,1203.58,
ACC_00016,75.2,2024-10-25,Healthy,661.41,
ACC_00017,63.3,2025-07-22,Healthy,0.0,
ACC_00018,74.8,2024-03-17,Healthy,2705.31,
ACC_00019,68.6,2024-08-09,Healthy,0.0,
ACC_00020,50.8,2025-08-21,Needs Attention,0.0,
ACC_00021,65.8,2025-03-17,Churned,0.0,Budget
ACC_00022,62.2,2025-06-07,Healthy,0.0,
ACC_00023,85.9,2025-09-04,Healthy,558.82,
ACC_00024,72.1,2025-05-06,Healthy,2870.35,
ACC_00025,78.1,2025-05-16,Healthy,2750.7,
ACC_00027,74.7,2025-05-02,Healthy,5626.95,
ACC_00028,96.0,2025-05-24,Healthy,2574.51,
ACC_00029,69.9,2024-06-23,Churned,0.0,Low Adoption
ACC_00030,73.0,2025-05-08,Healthy,678.89,
ACC_00031,87.7,2024-09-30,Healthy,542.94,
ACC_00032,49.7,2024-04-02,Churned,0.0,Poor Fit
ACC_00033,77.6,2025-03-16,Healthy,427.42,
ACC_00038,100.0,2025-03-26,Healthy,10806.04,
ACC_00039,68.6,2025-01-12,Healthy,0.0,
ACC_00040,89.4,2025-12-03,Healthy,746.5,
ACC_00042,80.6,2025-09-13,Healthy,580.62,
ACC_00044,46.9,2024-05-18,Churned,0.0,Low Adoption
ACC_00046,76.1,2024-10-04,Healthy,1308.17,
ACC_00048,76.1,2024-07-31,Healthy,384.92,
ACC_00050,76.4,2025-11-07,Healthy,1473.06,
ACC_00052,78.5,2025-05-21,Healthy,1623.98,
ACC_00053,74.9,2024-07-26,Healthy,6679.74,
ACC_00054,77.9,2024-03-31,Healthy,1837.06,
ACC_00055,89.0,2025-12-02,Healthy,3164.91,
ACC_00056,65.6,2025-07-19,Churned,0.0,Poor Fit
ACC_00061,82.8,2025-12-11,Healthy,2058.0,
ACC_00062,77.5,2025-08-27,Churned,0.0,Low Adoption
ACC_00063,42.8,2024-05-24,Churned,0.0,Competition
ACC_00064,53.4,2024-12-03,Needs Attention,0.0,
ACC_00065,73.7,2025-01-24,Healthy,977.59,
ACC_00066,60.7,2024-07-11,Healthy,0.0,
ACC_00067,70.2,2024-12-07,Churned,0.0,Business Closure
ACC_00069,26.4,2024-04-16,At Risk,0.0,
ACC_00070,63.2,2024-10-05,Healthy,0.0,
ACC_00072,41.0,2024-10-26,Needs Attention,0.0,
ACC_00073,51.3,2024-07-15,Churned,0.0,Competition
ACC_00074,28.6,2025-12-09,Churned,0.0,Poor Fit
ACC_00075,72.9,2025-09-02,Healthy,5018.62,
ACC_00076,98.4,2024-09-21,Healthy,1173.38,
ACC_00079,70.3,2025-07-19,Healthy,1307.58,
ACC_00080,90.0,2025-05-25,Healthy,960.96,
ACC_00081,90.4,2025-01-07,Healthy,6137.71,
ACC_00082,87.3,2024-03-29,Healthy,1202.42,
ACC_00084,42.9,2024-11-23,Needs Attention,0.0,
ACC_00089,96.4,2024-09-16,Healthy,796.35,
ACC_00090,67.1,2024-07-04,Healthy,0.0,
ACC_00092,82.3,2025-08-23,Healthy,3366.44,
ACC_00093,75.1,2025-08-28,Healthy,2639.38,
ACC_00097,58.6,2025-03-22,Needs Attention,0.0,
