creative_id,campaign_id,campaign_name,ad_group_id,channel,persona_segment,hook_type,creative_format,data_origin
cr_meta_001_001,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,META,SCRAPPY_INDEPENDENT,FEAR_OF_MISSING_OUT,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_001_002,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,META,GROWTH_MINDED,OUTCOME,UGC_VIDEO,SYNTHETIC
cr_meta_001_003,camp_meta_001,Meta - Broad Awareness,ag_meta_001_001,META,COMMUNITY_FOCUSED,FEAR_OF_MISSING_OUT,UGC_VIDEO,SYNTHETIC
cr_meta_002_001,camp_meta_001,Meta - Broad Awareness,ag_meta_001_002,META,NEW_OWNER,OUTCOME,PRODUCT_DEMO,SYNTHETIC
cr_meta_002_002,camp_meta_001,Meta - Broad Awareness,ag_meta_001_002,META,DELIVERY_HEAVY,SOCIAL_PROOF,CAROUSEL,SYNTHETIC
cr_meta_002_003,camp_meta_001,Meta - Broad Awareness,ag_meta_001_002,META,NEW_OWNER,OUTCOME,CAROUSEL,SYNTHETIC
cr_meta_003_001,camp_meta_001,Meta - Broad Awareness,ag_meta_001_003,META,COMMUNITY_FOCUSED,DEMONSTRATION,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_003_002,camp_meta_001,Meta - Broad Awareness,ag_meta_001_003,META,SCRAPPY_INDEPENDENT,DEMONSTRATION,UGC_VIDEO,SYNTHETIC
cr_meta_003_003,camp_meta_001,Meta - Broad Awareness,ag_meta_001_003,META,COMMUNITY_FOCUSED,FEAR_OF_MISSING_OUT,UGC_VIDEO,SYNTHETIC
cr_meta_004_001,camp_meta_002,Meta - Retargeting,ag_meta_002_001,META,DELIVERY_HEAVY,DEMONSTRATION,UGC_VIDEO,SYNTHETIC
cr_meta_004_002,camp_meta_002,Meta - Retargeting,ag_meta_002_001,META,GROWTH_MINDED,OUTCOME,PRODUCT_DEMO,SYNTHETIC
cr_meta_004_003,camp_meta_002,Meta - Retargeting,ag_meta_002_001,META,NEW_OWNER,SOCIAL_PROOF,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_005_001,camp_meta_002,Meta - Retargeting,ag_meta_002_002,META,NEW_OWNER,CONTRAST,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_005_002,camp_meta_002,Meta - Retargeting,ag_meta_002_002,META,COMMUNITY_FOCUSED,SOCIAL_PROOF,STATIC_IMAGE,SYNTHETIC
cr_meta_005_003,camp_meta_002,Meta - Retargeting,ag_meta_002_002,META,SCRAPPY_INDEPENDENT,FEAR_OF_MISSING_OUT,UGC_VIDEO,SYNTHETIC
cr_meta_006_001,camp_meta_002,Meta - Retargeting,ag_meta_002_003,META,GROWTH_MINDED,OUTCOME,STATIC_IMAGE,SYNTHETIC
cr_meta_006_002,camp_meta_002,Meta - Retargeting,ag_meta_002_003,META,SCRAPPY_INDEPENDENT,FEAR_OF_MISSING_OUT,UGC_VIDEO,SYNTHETIC
cr_meta_006_003,camp_meta_002,Meta - Retargeting,ag_meta_002_003,META,DELIVERY_HEAVY,OUTCOME,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_007_001,camp_meta_003,Meta - Lookalike,ag_meta_003_001,META,SCRAPPY_INDEPENDENT,FEAR_OF_MISSING_OUT,CAROUSEL,SYNTHETIC
cr_meta_007_002,camp_meta_003,Meta - Lookalike,ag_meta_003_001,META,DELIVERY_HEAVY,CONTRAST,PRODUCT_DEMO,SYNTHETIC
cr_meta_007_003,camp_meta_003,Meta - Lookalike,ag_meta_003_001,META,DELIVERY_HEAVY,CONTRAST,STATIC_IMAGE,SYNTHETIC
cr_meta_008_001,camp_meta_003,Meta - Lookalike,ag_meta_003_002,META,COMMUNITY_FOCUSED,SOCIAL_PROOF,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_008_002,camp_meta_003,Meta - Lookalike,ag_meta_003_002,META,GROWTH_MINDED,SOCIAL_PROOF,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_008_003,camp_meta_003,Meta - Lookalike,ag_meta_003_002,META,NEW_OWNER,CONTRAST,CAROUSEL,SYNTHETIC
cr_meta_009_001,camp_meta_003,Meta - Lookalike,ag_meta_003_003,META,COMMUNITY_FOCUSED,DEMONSTRATION,STATIC_IMAGE,SYNTHETIC
cr_meta_009_002,camp_meta_003,Meta - Lookalike,ag_meta_003_003,META,NEW_OWNER,CONTRAST,CAROUSEL,SYNTHETIC
cr_meta_009_003,camp_meta_003,Meta - Lookalike,ag_meta_003_003,META,NEW_OWNER,SOCIAL_PROOF,PRODUCT_DEMO,SYNTHETIC
cr_meta_010_001,camp_meta_004,Meta - UGC Testing,ag_meta_004_001,META,GROWTH_MINDED,CONTRAST,CAROUSEL,SYNTHETIC
cr_meta_010_002,camp_meta_004,Meta - UGC Testing,ag_meta_004_001,META,NEW_OWNER,SOCIAL_PROOF,STATIC_IMAGE,SYNTHETIC
cr_meta_010_003,camp_meta_004,Meta - UGC Testing,ag_meta_004_001,META,COMMUNITY_FOCUSED,DEMONSTRATION,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_011_001,camp_meta_004,Meta - UGC Testing,ag_meta_004_002,META,NEW_OWNER,SOCIAL_PROOF,STATIC_IMAGE,SYNTHETIC
cr_meta_011_002,camp_meta_004,Meta - UGC Testing,ag_meta_004_002,META,NEW_OWNER,SOCIAL_PROOF,UGC_VIDEO,SYNTHETIC
cr_meta_011_003,camp_meta_004,Meta - UGC Testing,ag_meta_004_002,META,COMMUNITY_FOCUSED,SOCIAL_PROOF,UGC_VIDEO,SYNTHETIC
cr_meta_012_001,camp_meta_004,Meta - UGC Testing,ag_meta_004_003,META,COMMUNITY_FOCUSED,OUTCOME,SHORT_FORM_VIDEO,SYNTHETIC
cr_meta_012_002,camp_meta_004,Meta - UGC Testing,ag_meta_004_003,META,COMMUNITY_FOCUSED,SOCIAL_PROOF,STATIC_IMAGE,SYNTHETIC
cr_meta_012_003,camp_meta_004,Meta - UGC Testing,ag_meta_004_003,META,COMMUNITY_FOCUSED,OUTCOME,PRODUCT_DEMO,SYNTHETIC
cr_tiktok_013_001,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_001,TIKTOK,DELIVERY_HEAVY,CONTRAST,CAROUSEL,SYNTHETIC
cr_tiktok_013_002,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_001,TIKTOK,DELIVERY_HEAVY,SOCIAL_PROOF,UGC_VIDEO,SYNTHETIC
cr_tiktok_013_003,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_001,TIKTOK,COMMUNITY_FOCUSED,OUTCOME,UGC_VIDEO,SYNTHETIC
cr_tiktok_014_001,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_002,TIKTOK,DELIVERY_HEAVY,OUTCOME,CAROUSEL,SYNTHETIC
cr_tiktok_014_002,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_002,TIKTOK,COMMUNITY_FOCUSED,DEMONSTRATION,CAROUSEL,SYNTHETIC
cr_tiktok_014_003,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_002,TIKTOK,COMMUNITY_FOCUSED,CONTRAST,PRODUCT_DEMO,SYNTHETIC
cr_tiktok_015_001,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_003,TIKTOK,DELIVERY_HEAVY,DEMONSTRATION,PRODUCT_DEMO,SYNTHETIC
cr_tiktok_015_002,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_003,TIKTOK,SCRAPPY_INDEPENDENT,CONTRAST,STATIC_IMAGE,SYNTHETIC
cr_tiktok_015_003,camp_tiktok_001,TikTok - Native Discovery,ag_tiktok_001_003,TIKTOK,COMMUNITY_FOCUSED,CONTRAST,PRODUCT_DEMO,SYNTHETIC
cr_tiktok_016_001,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_001,TIKTOK,COMMUNITY_FOCUSED,FEAR_OF_MISSING_OUT,CAROUSEL,SYNTHETIC
cr_tiktok_016_002,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_001,TIKTOK,SCRAPPY_INDEPENDENT,OUTCOME,STATIC_IMAGE,SYNTHETIC
cr_tiktok_016_003,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_001,TIKTOK,SCRAPPY_INDEPENDENT,SOCIAL_PROOF,CAROUSEL,SYNTHETIC
cr_tiktok_017_001,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_002,TIKTOK,GROWTH_MINDED,OUTCOME,STATIC_IMAGE,SYNTHETIC
cr_tiktok_017_002,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_002,TIKTOK,GROWTH_MINDED,CONTRAST,UGC_VIDEO,SYNTHETIC
cr_tiktok_017_003,camp_tiktok_002,TikTok - Owner UGC,ag_tiktok_002_002,TIKTOK,DELIVERY_HEAVY,CONTRAST,PRODUCT_DEMO,SYNTHETIC
