account_id,user_id,signup_date,channel,campaign_id,ad_group_id,creative_id,persona_segment,subscription_tier,is_missing_attribution,data_origin
acct_001000,usr_001000,2026-01-05,TIKTOK,camp_tiktok_001,ag_tiktok_001_001,cr_tiktok_013_002,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000127,usr_000127,2026-01-05,GOOGLE_SEARCH,camp_google_001,ag_google_001_003,cr_google_024_001,NEW_OWNER,,False,SYNTHETIC
acct_001693,usr_001693,2026-01-05,TIKTOK,camp_tiktok_003,ag_tiktok_003_001,cr_tiktok_019_002,NEW_OWNER,,False,SYNTHETIC
acct_001601,usr_001601,2026-01-05,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_003,NEW_OWNER,,False,SYNTHETIC
acct_001738,usr_001738,2026-01-05,,,,,GROWTH_MINDED,,True,SYNTHETIC
acct_000751,usr_000751,2026-01-05,META,camp_meta_002,ag_meta_002_003,cr_meta_006_003,DELIVERY_HEAVY,,False,SYNTHETIC
acct_000732,usr_000732,2026-01-05,META,camp_meta_002,ag_meta_002_003,cr_meta_006_002,SCRAPPY_INDEPENDENT,,False,SYNTHETIC
acct_000717,usr_000717,2026-01-05,META,camp_meta_002,ag_meta_002_003,cr_meta_006_001,GROWTH_MINDED,,False,SYNTHETIC
acct_000651,usr_000651,2026-01-05,META,camp_meta_002,ag_meta_002_001,cr_meta_004_001,DELIVERY_HEAVY,,False,SYNTHETIC
acct_001568,usr_001568,2026-01-05,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_003,NEW_OWNER,,False,SYNTHETIC
acct_001523,usr_001523,2026-01-05,TIKTOK,camp_tiktok_002,ag_tiktok_002_003,cr_tiktok_018_002,GROWTH_MINDED,,False,SYNTHETIC
acct_001876,usr_001876,2026-01-05,TIKTOK,camp_tiktok_003,ag_tiktok_003_003,cr_tiktok_021_001,GROWTH_MINDED,,False,SYNTHETIC
