revenue_event_id,account_id,subscription_id,event_date,event_type,amount_usd,month_num,location_count,data_origin
rev_0000001,acct_000651,sub_acct_000651,2026-01-26,MRR,99,0,1,SYNTHETIC
rev_0000002,acct_001634,sub_acct_001634,2026-02-13,MRR,199,0,1,SYNTHETIC
rev_0000003,acct_001634,sub_acct_001634,2026-03-15,MRR,199,1,1,SYNTHETIC
rev_0000004,acct_001257,sub_acct_001257,2026-02-07,MRR,99,0,1,SYNTHETIC
rev_0000005,acct_001257,sub_acct_001257,2026-03-09,MRR,99,1,1,SYNTHETIC
rev_0000006,acct_001570,sub_acct_001570,2026-02-12,MRR,399,0,1,SYNTHETIC
rev_0000007,acct_001570,sub_acct_001570,2026-03-14,MRR,399,1,1,SYNTHETIC
rev_0000008,acct_000204,sub_acct_000204,2026-01-21,MRR,198,0,2,SYNTHETIC
rev_0000009,acct_000204,sub_acct_000204,2026-02-20,MRR,198,1,2,SYNTHETIC
rev_0000010,acct_000309,sub_acct_000309,2026-02-05,MRR,99,0,1,SYNTHETIC
rev_0000011,acct_000309,sub_acct_000309,2026-03-07,MRR,99,1,1,SYNTHETIC
rev_0000012,acct_001171,sub_acct_001171,2026-02-01,MRR,99,0,1,SYNTHETIC
rev_0000013,acct_001171,sub_acct_001171,2026-03-03,MRR,99,1,1,SYNTHETIC
rev_0000014,acct_001381,sub_acct_001381,2026-01-29,MRR,199,0,1,SYNTHETIC
rev_0000015,acct_001381,sub_acct_001381,2026-02-28,MRR,199,1,1,SYNTHETIC
rev_0000016,acct_000671,sub_acct_000671,2026-02-08,MRR,199,0,1,SYNTHETIC
rev_0000017,acct_000671,sub_acct_000671,2026-03-10,MRR,199,1,1,SYNTHETIC
rev_0000018,acct_001510,sub_acct_001510,2026-01-28,MRR,99,0,1,SYNTHETIC
rev_0000019,acct_000201,sub_acct_000201,2026-01-25,MRR,199,0,1,SYNTHETIC
rev_0000020,acct_000322,sub_acct_000322,2026-02-07,MRR,199,0,1,SYNTHETIC
rev_0000021,acct_001550,sub_acct_001550,2026-02-17,MRR,399,0,1,SYNTHETIC
rev_0000022,acct_001550,sub_acct_001550,2026-03-19,MRR,399,1,1,SYNTHETIC
rev_0000023,acct_001151,sub_acct_001151,2026-01-31,MRR,199,0,1,SYNTHETIC
rev_0000024,acct_001151,sub_acct_001151,2026-03-02,MRR,199,1,1,SYNTHETIC
rev_0000025,acct_001659,sub_acct_001659,2026-01-31,MRR,199,0,1,SYNTHETIC
rev_0000026,acct_001659,sub_acct_001659,2026-03-02,MRR,199,1,1,SYNTHETIC
rev_0000027,acct_000944,sub_acct_000944,2026-02-12,MRR,99,0,1,SYNTHETIC
rev_0000028,acct_000944,sub_acct_000944,2026-03-14,MRR,99,1,1,SYNTHETIC
rev_0000029,acct_000831,sub_acct_000831,2026-02-19,MRR,99,0,1,SYNTHETIC
rev_0000030,acct_000831,sub_acct_000831,2026-03-21,MRR,99,1,1,SYNTHETIC
rev_0000031,acct_001336,sub_acct_001336,2026-02-14,MRR,99,0,1,SYNTHETIC
rev_0000032,acct_001336,sub_acct_001336,2026-03-16,MRR,99,1,1,SYNTHETIC
rev_0000033,acct_001631,sub_acct_001631,2026-01-28,MRR,99,0,1,SYNTHETIC
rev_0000034,acct_001631,sub_acct_001631,2026-02-27,MRR,99,1,1,SYNTHETIC
rev_0000035,acct_001631,sub_acct_001631,2026-03-29,MRR,99,2,1,SYNTHETIC
rev_0000036,acct_001853,sub_acct_001853,2026-01-29,MRR,399,0,1,SYNTHETIC
rev_0000037,acct_001853,sub_acct_001853,2026-02-28,MRR,399,1,1,SYNTHETIC
rev_0000038,acct_001732,sub_acct_001732,2026-02-13,MRR,199,0,1,SYNTHETIC
rev_0000039,acct_001732,sub_acct_001732,2026-03-15,MRR,199,1,1,SYNTHETIC
rev_0000040,acct_001545,sub_acct_001545,2026-02-03,MRR,99,0,1,SYNTHETIC
rev_0000041,acct_001545,sub_acct_001545,2026-03-05,MRR,99,1,1,SYNTHETIC
rev_0000042,acct_000928,sub_acct_000928,2026-01-29,MRR,399,0,1,SYNTHETIC
rev_0000043,acct_000928,sub_acct_000928,2026-02-28,MRR,399,1,1,SYNTHETIC
rev_0000044,acct_000724,sub_acct_000724,2026-02-08,MRR,198,0,2,SYNTHETIC
rev_0000045,acct_001748,sub_acct_001748,2026-02-03,MRR,99,0,1,SYNTHETIC
rev_0000046,acct_001748,sub_acct_001748,2026-03-05,MRR,99,1,1,SYNTHETIC
rev_0000047,acct_000626,sub_acct_000626,2026-01-30,MRR,398,0,2,SYNTHETIC
rev_0000048,acct_000626,sub_acct_000626,2026-03-01,MRR,398,1,2,SYNTHETIC
rev_0000049,acct_001030,sub_acct_001030,2026-02-08,MRR,199,0,1,SYNTHETIC
rev_0000050,acct_001030,sub_acct_001030,2026-03-10,MRR,199,1,1,SYNTHETIC
rev_0000051,acct_001797,sub_acct_001797,2026-02-09,MRR,99,0,1,SYNTHETIC
rev_0000052,acct_001797,sub_acct_001797,2026-03-11,MRR,99,1,1,SYNTHETIC
rev_0000053,acct_000610,sub_acct_000610,2026-02-11,MRR,99,0,1,SYNTHETIC
rev_0000054,acct_000610,sub_acct_000610,2026-03-13,MRR,99,1,1,SYNTHETIC
rev_0000055,acct_000749,sub_acct_000749,2026-02-20,MRR,198,0,2,SYNTHETIC
rev_0000056,acct_000749,sub_acct_000749,2026-03-22,MRR,198,1,2,SYNTHETIC
